TimeStamp,ECG Data,GSR Data
11597,233,426
11608,305,427
11619,221,426
11630,353,427
11641,226,426
11652,376,427
11663,234,426
11674,360,427
11685,288,426
11696,320,426
11707,315,426
11718,247,426
11729,376,427
11740,228,426
11751,384,427
11762,259,426
11773,375,427
11784,281,427
11795,336,427
11806,314,426
11817,285,426
11828,341,426
11839,250,426
11850,407,427
11862,253,426
11873,389,426
11884,281,426
11895,340,427
11906,299,426
11917,288,426
11928,366,427
11939,293,426
11950,405,427
11961,266,426
11972,443,427
11983,342,426
11994,416,427
12005,293,426
12016,282,426
12027,299,427
12038,235,426
12049,340,426
12060,211,426
12071,364,427
12082,219,426
12093,319,427
12104,212,426
12115,607,427
12126,668,426
12137,674,427
12148,250,427
12160,24,426
12171,187,427
12182,125,427
12193,254,427
12204,153,426
12215,262,427
12226,228,426
12237,229,426
12248,301,426
12259,237,427
12270,351,427
12281,252,426
12292,408,427
12303,278,426
12314,390,427
12325,349,426
12336,384,426
12347,423,426
12358,353,426
12369,498,427
12380,358,426
12391,538,427
12402,336,426
12413,389,427
12424,226,426
12435,221,427
12446,154,426
12457,99,426
12468,176,426
12479,84,426
12490,240,427
12502,137,426
12513,246,427
12524,181,426
12535,239,426
12546,235,426
12557,228,426
12568,313,426
12579,198,426
12590,342,427
12601,219,426
12612,363,427
12623,246,426
12634,349,427
12645,275,426
12656,294,426
12667,330,426
12678,240,426
12689,342,426
12700,234,426
12711,375,427
12722,231,426
12733,372,427
12744,293,426
12755,303,427
12766,307,426
12777,276,426
12788,346,427
12800,236,426
12811,393,427
12822,233,426
12833,378,427
12844,266,426
12855,340,427
12866,317,426
12877,298,426
12888,377,427
12899,294,426
12910,454,427
12921,289,427
12932,415,427
12943,244,426
12954,303,427
12965,263,426
12976,277,426
12987,284,427
12998,237,426
13009,359,427
13020,167,426
13031,296,427
13042,505,426
13053,662,426
13064,673,426
13075,303,427
13086,25,426
13097,54,426
13108,204,427
13119,107,426
13130,276,427
13142,146,426
13153,312,427
13164,221,426
13175,282,427
13186,278,426
13197,267,426
13208,354,427
13219,252,426
13230,406,427
13241,276,426
13252,442,427
13263,332,426
13274,445,427
13285,407,426
13296,408,426
13307,476,427
13318,384,427
13329,444,427
13340,266,426
13351,334,427
13362,147,426
13373,226,427
13384,121,426
13395,150,426
13406,150,426
13417,145,426
13428,224,426
13440,143,426
13451,297,427
13462,166,426
13473,320,427
13484,212,426
13495,293,426
13506,288,426
13517,236,427
13528,322,427
13539,221,426
13550,379,427
13561,231,426
13572,373,427
13583,259,426
13594,337,427
13605,290,426
13616,293,427
13627,324,427
13638,253,426
13649,368,427
13660,235,426
13671,390,427
13682,260,426
13693,368,427
13704,279,426
13715,331,427
13726,318,426
13737,253,427
13748,347,427
13759,251,426
13770,403,427
13782,256,426
13793,379,427
13804,290,426
13815,328,427
13826,323,426
13837,286,427
13848,379,427
13859,277,426
13870,414,427
13881,303,426
13892,458,427
13903,326,427
13914,365,427
13925,252,426
13936,261,427
13947,305,427
13958,235,426
13969,347,427
13980,215,426
13991,373,427
14002,151,426
14013,347,427
14024,587,426
14035,668,427
14046,674,426
14057,157,427
14068,63,426
14080,74,426
14091,253,427
14102,132,426
14113,252,426
14124,199,427
14135,263,427
14146,258,426
14157,231,426
14168,318,426
14179,218,426
14190,393,427
14201,260,426
14212,413,427
14223,301,427
14234,405,427
14245,379,426
14256,408,427
14267,444,427
14278,379,426
14289,511,427
14300,361,426
14311,473,427
14322,266,426
14333,313,427
14344,164,426
14355,167,426
14366,161,426
14377,101,426
14388,187,426
14399,105,426
14410,274,427
14422,147,426
14433,287,426
14444,213,426
14455,249,427
14466,259,426
14477,234,426
14488,323,427
14499,216,426
14510,368,427
14521,219,426
14532,378,427
14543,266,426
14554,342,427
14565,286,426
14576,279,426
14587,338,427
14598,251,426
14609,365,427
14620,239,426
14631,384,427
14642,243,426
14653,376,427
14664,295,426
14675,305,427
14686,324,426
14697,272,426
14708,364,427
14720,250,426
14731,397,427
14742,261,426
14753,377,427
14764,290,426
14775,331,427
14786,329,426
14797,267,426
14808,350,427
14819,256,426
14830,399,427
14841,257,426
14852,393,427
14863,271,426
14874,350,427
14885,320,426
14896,314,427
14907,352,426
14918,259,426
14929,409,427
14940,279,426
14951,420,427
14962,321,426
14973,434,427
14984,320,426
14995,347,427
15006,295,426
15017,225,426
15028,313,427
15039,209,427
15050,349,427
15062,231,426
15073,353,427
15084,219,426
15095,216,426
15106,489,427
15117,661,426
15128,674,427
15139,207,426
15150,56,427
15161,78,426
15172,245,427
15183,152,426
15194,242,427
15205,213,426
15216,219,427
15227,286,426
15238,213,426
15249,339,427
15260,224,426
15271,384,427
15282,250,426
15293,400,427
15304,315,426
15315,362,427
15326,379,426
15337,358,426
15348,471,427
15360,368,426
15371,526,427
15382,389,426
15393,476,427
15404,341,426
15415,303,427
15426,232,427
15437,125,426
15448,174,427
15459,73,426
15470,216,427
15481,95,426
15492,249,427
15503,153,426
15514,247,427
15525,224,427
15536,230,426
15547,270,426
15558,206,426
15569,349,427
15580,207,426
15591,358,427
15602,234,426
15613,331,427
15624,262,426
15635,309,427
15646,305,426
15657,250,426
15668,342,426
15679,226,426
15690,367,427
15702,243,426
15713,375,427
15724,281,426
15735,309,427
15746,312,427
15757,268,426
15768,354,427
15779,247,426
15790,387,427
15801,232,426
15812,381,427
15823,279,426
15834,356,427
15845,305,426
15856,298,426
15867,357,427
15878,265,426
15889,382,427
15900,244,426
15911,396,427
15922,263,426
15933,375,427
15944,292,426
15955,315,427
15966,327,426
15977,275,426
15988,373,427
16000,253,426
16011,398,427
16022,273,426
16033,373,426
16044,291,426
16055,322,427
16066,336,426
16077,292,426
16088,388,427
16099,274,426
16110,449,427
16121,313,426
16132,420,427
16143,268,426
16154,305,427
16165,271,427
16176,265,426
16187,309,427
16198,223,426
16209,355,426
16220,226,426
16231,314,427
16242,163,426
16253,588,427
16264,666,427
16275,674,427
16286,196,427
16297,21,426
16308,201,427
16319,109,426
16330,268,427
16342,150,426
16353,293,427
16364,222,426
16375,256,427
16386,283,426
16397,240,427
16408,342,427
16419,239,426
16430,387,427
16441,266,426
16452,418,427
16463,327,426
16474,417,427
16485,397,426
16496,398,427
16507,476,427
16518,399,426
16529,508,427
16540,347,426
16551,444,427
16562,228,426
16573,260,427
16584,143,426
16595,130,426
16606,136,426
16617,97,426
16628,200,427
16640,105,426
16651,269,427
16662,164,427
16673,276,427
16684,210,426
16695,258,427
16706,267,426
16717,218,426
16728,310,427
16739,221,426
16750,361,427
16761,231,426
16772,366,427
16783,253,426
16794,327,427
16805,289,426
16816,300,426
16827,334,426
16838,239,426
16849,368,427
16860,232,426
16871,390,427
16882,255,426
16893,355,427
16904,273,426
16915,321,426
16926,326,426
16937,249,426
16948,364,427
16959,250,426
16970,387,427
16982,249,426
16993,380,427
17004,300,426
17015,310,426
17026,327,426
17037,273,426
17048,366,427
17059,235,426
17070,389,427
17081,252,426
17092,382,427
17103,296,426
17114,349,427
17125,319,426
17136,295,427
17147,355,427
17158,255,426
17169,376,427
17180,245,426
17191,384,427
17202,262,426
17213,387,427
17224,320,426
17235,331,427
17246,346,426
17257,312,427
17268,422,427
17280,292,426
17291,395,427
17302,227,426
17313,319,427
17324,246,426
17335,280,426
17346,294,426
17357,236,426
17368,329,427
17379,202,426
17390,284,427
17401,361,426
17412,644,427
17423,672,426
17434,462,427
17445,37,426
17456,84,426
17467,200,427
17478,121,426
17489,263,427
17500,162,426
17511,319,427
17522,202,426
17533,307,427
17544,257,426
17555,288,427
17566,312,427
17577,264,427
17588,377,427
17599,282,426
17610,426,427
17622,317,426
17633,450,427
17644,402,427
17655,429,427
17666,467,427
17677,406,426
17688,491,427
17699,316,426
17710,379,427
17721,176,426
17732,233,427
17743,116,426
17754,189,427
17765,135,426
17776,119,426
17787,209,427
17798,135,426
17809,256,427
17820,161,426
17831,306,427
17842,183,426
17853,309,426
17864,249,426
17875,265,426
17886,292,426
17897,252,426
17908,354,427
17920,224,426
17931,380,427
17942,257,426
17953,354,427
17964,275,427
17975,310,427
17986,320,427
17997,254,426
18008,355,427
18019,229,426
18030,381,427
18041,247,426
18052,376,427
18063,278,426
18074,337,427
18085,304,426
18096,296,427
18107,337,427
18118,245,426
18129,386,427
18140,242,426
18151,390,427
18162,261,426
18173,365,427
18184,294,426
18195,331,427
18206,330,427
18217,262,426
18228,365,427
18239,237,426
18250,398,427
18262,260,426
18273,384,427
18284,324,427
18295,332,427
18306,341,427
18317,324,427
18328,439,427
18339,280,426
18350,378,427
18361,211,426
18372,338,427
18383,240,427
18394,324,427
18405,269,426
18416,273,426
18427,344,427
18438,186,426
18449,290,427
18460,485,426
18471,661,427
18482,673,426
18493,329,427
18504,26,426
18515,123,427
18526,182,426
18537,142,426
18548,244,427
18560,157,426
18571,320,427
18582,205,426
18593,314,427
18604,252,426
18615,299,426
18626,321,426
18637,272,426
18648,385,427
18659,273,426
18670,433,427
18681,333,426
18692,480,427
18703,385,426
18714,462,427
18725,455,427
18736,433,427
18747,435,427
18758,292,426
18769,346,427
18780,143,426
18791,235,427
18802,100,426
18813,166,427
18824,131,426
18835,168,427
18846,197,427
18857,131,426
18868,255,427
18879,157,426
18890,310,426
18902,186,426
18913,330,427
18924,244,426
18935,268,426
18946,294,426
18957,240,426
18968,355,426
18979,224,426
18990,384,427
19001,235,426
19012,368,427
19023,272,426
19034,341,427
19045,305,426
19056,263,426
19067,360,427
19078,244,426
19089,371,427
19100,240,426
19111,393,426
19122,243,426
19133,363,427
19144,303,426
19155,285,426
19166,327,426
19177,258,426
19188,378,427
19200,237,426
19211,392,427
19222,274,426
19233,359,427
19244,283,426
19255,322,427
19266,343,426
19277,258,426
19288,360,427
19299,258,427
19310,410,427
19321,287,426
19332,430,427
19343,336,426
19354,390,427
19365,356,427
19376,283,426
19387,308,427
19398,205,426
19409,356,427
19420,188,426
19431,361,427
19442,256,426
19453,325,427
19464,198,426
19475,256,427
19486,593,427
19497,668,426
19508,675,427
19519,137,427
19530,69,427
19542,97,426
19553,228,427
19564,181,426
19575,191,427
19586,232,426
19597,199,426
19608,317,427
19619,195,426
19630,362,427
19641,236,426
19652,381,427
19663,288,426
19674,362,427
19685,348,427
19696,332,426
19707,437,427
19718,344,427
19729,497,427
19740,369,426
19751,522,427
19762,392,426
19773,450,427
19784,302,426
19795,231,426
19806,204,427
19817,108,426
19828,204,427
19840,79,426
19851,229,427
19862,133,426
19873,226,427
19884,183,426
19895,212,426
19906,256,427
19917,188,426
19928,314,427
19939,187,426
19950,355,427
19961,231,426
19972,351,426
19983,264,426
19994,321,427
20005,315,427
20016,277,427
20027,341,427
20038,228,426
20049,369,427
20060,233,426
20071,385,427
20082,263,426
20093,343,427
20104,287,426
20115,309,426
20126,333,427
20137,245,426
20148,364,427
20159,233,426
20170,386,427
20182,269,426
20193,364,427
20204,305,426
20215,293,427
20226,331,427
20237,261,426
20248,373,427
20259,247,426
20270,386,427
20281,261,426
20292,377,427
20303,296,426
20314,349,427
20325,320,427
20336,278,426
20347,361,427
20358,253,426
20369,407,427
20380,277,426
20391,408,427
20402,303,426
20413,426,427
20424,355,427
20435,310,427
20446,321,426
20457,223,426
20468,334,427
20480,207,426
20491,365,426
20502,240,426
20513,328,427
20524,271,426
20535,202,427
20546,353,427
20557,649,427
20568,672,427
20579,616,426
20590,97,427
20601,19,426
20612,230,427
20623,135,426
20634,207,427
20645,215,427
20656,186,427
20667,293,426
20678,196,427
20689,350,427
20700,211,426
20711,374,427
20722,265,426
20733,352,427
20744,317,427
20755,339,426
20766,399,427
20777,327,426
20788,455,427
20799,354,426
20810,524,427
20822,387,426
20833,474,427
20844,387,427
20855,289,426
20866,265,426
20877,136,426
20888,201,427
20899,68,426
20910,219,427
20921,99,427
20932,243,427
20943,163,426
20954,229,427
20965,214,426
20976,203,426
20987,303,427
20998,189,426
21009,338,427
21020,211,426
21031,352,427
21042,240,426
21053,335,427
21064,292,427
21075,278,426
21086,324,427
21097,247,426
21108,367,427
21120,232,426
21131,368,427
21142,255,426
21153,339,427
21164,285,426
21175,307,427
21186,336,427
21197,252,426
21208,364,427
21219,241,426
21230,392,427
21241,258,427
21252,392,427
21263,285,426
21274,332,427
